iter	RMSE
0	68620.41916
1	67685.04517
2	66903.83574
3	66154.08905
4	65450.51597
5	64767.3354
6	64245.44715
7	63697.70024
8	63327.39939
9	62847.19396
10	62400.821
11	62107.15523
12	61711.33148
13	61344.11309
14	61025.90006
15	60711.03264
16	60328.24494
17	59966.28926
18	59724.075
19	59499.09491
20	59219.72776
21	59006.58452
22	58827.20361
23	58581.80049
24	58350.03208
25	58224.51498
26	58084.99215
27	57893.58094
28	57717.39462
29	57605.91164
30	57444.23194
31	57370.80927
32	57272.27114
33	57153.71929
34	57042.35702
35	57002.55751
36	56932.69915
37	56812.80371
38	56733.69515
39	56698.06053
40	56632.00512
41	56558.09544
42	56528.0082
43	56455.40624
44	56442.70522
45	56383.75427
46	56284.04361
47	56238.17644
48	56212.10933
49	56190.09725
50	56140.08266
51	56070.70413
52	56048.96881
53	55961.90202
54	55904.05886
55	55894.40454
56	55865.0818
57	55834.26872
58	55817.70313
59	55792.60084
60	55762.7603
61	55716.76615
62	55706.55075
63	55701.61362
64	55678.94876
65	55632.93044
66	55604.99278
67	55560.09043
68	55530.59949
69	55514.94407
70	55480.69831
71	55431.20684
72	55424.97933
73	55388.32097
74	55383.59037
75	55346.42882
76	55332.81268
77	55273.84541
78	55269.21213
79	55252.80822
80	55228.4238
81	55205.01644
82	55198.23152
83	55193.48567
84	55144.08239
85	55098.35502
86	55068.50299
87	55054.76946
88	55023.32598
89	55015.72119
90	54968.21569
91	54961.26116
92	54941.38282
93	54907.3311
94	54873.43076
95	54856.57371
96	54833.68253
97	54826.23043
98	54818.07377
99	54754.76216
100	54744.61349
101	54737.21936
102	54726.64364
103	54697.37667
104	54664.47653
105	54657.04382
106	54650.70199
107	54638.638
108	54619.93328
109	54589.51357
110	54567.93625
111	54562.90997
112	54555.02548
113	54537.52455
114	54530.35054
115	54524.8337
116	54496.06589
117	54476.68865
118	54470.28118
119	54461.95781
120	54456.77187
121	54449.98136
122	54435.34675
123	54388.53129
124	54373.07849
125	54358.21895
126	54346.51699
127	54329.37624
128	54298.59419
129	54271.4782
130	54267.10411
131	54216.17092
132	54214.66025
133	54201.91885
134	54165.10081
135	54161.65596
136	54125.50626
137	54118.65104
138	54112.24801
139	54109.16265
140	54101.37449
141	54094.91732
142	54088.67542
143	54079.0796
144	54072.85851
145	54067.04929
146	54057.94366
147	54052.1079
148	54043.02358
149	54035.94629
150	54029.79312
151	54021.53689
152	54011.3674
153	54002.72437
154	53996.83195
155	53988.72302
156	53983.17047
157	53972.14086
158	53963.79292
159	53956.16893
160	53917.73211
161	53906.86578
162	53898.46285
163	53890.19571
164	53882.3152
165	53873.05224
166	53864.15763
167	53856.64812
168	53848.55298
169	53838.92341
170	53829.60761
171	53822.552
172	53812.68204
173	53803.61746
174	53794.68559
175	53785.88539
176	53778.54026
177	53770.03623
178	53760.93106
179	53752.28749
180	53743.99822
181	53735.33798
182	53725.92105
183	53719.75627
184	53711.03965
185	53702.58188
186	53695.70277
187	53687.49397
188	53637.09231
189	53628.97639
190	53620.87132
191	53611.87788
192	53603.50674
193	53594.5557
194	53586.75516
195	53578.09092
196	53570.12705
197	53560.80794
198	53552.07473
199	53543.94794
200	53535.24114
201	53495.29793
202	53485.59301
203	53406.74058
204	53396.11993
205	53386.92604
206	53378.84025
207	53370.57771
208	53361.76178
209	53354.06036
210	53346.69894
211	53290.17696
212	53232.49454
213	53224.42509
214	53170.15035
215	53156.86838
216	53147.79037
217	53140.02397
218	53131.76599
219	53077.66083
220	53068.72742
221	53058.24336
222	53050.50875
223	53042.85232
224	53034.65388
225	53027.53406
226	53019.10945
227	53011.19389
228	52950.517
229	52905.32905
230	52897.83995
231	52890.93903
232	52884.09999
233	52836.80398
234	52830.14882
235	52823.04838
236	52813.46525
237	52807.10039
238	52800.57203
239	52793.08856
240	52761.01514
241	52754.56804
242	52747.33982
243	52740.65037
244	52734.44434
245	52726.81145
246	52719.69163
247	52713.55356
248	52707.09252
249	52701.06009
250	52692.09487
251	52686.15899
252	52680.28423
253	52673.22319
254	52666.96723
255	52660.77472
256	52655.07949
257	52648.44899
258	52642.29282
259	52610.73282
260	52605.17801
261	52599.21883
262	52579.2646
263	52572.49509
264	52567.07211
265	52561.67218
266	52556.3445
267	52547.44824
268	52542.20533
269	52536.77993
270	52531.62747
271	52502.14084
272	52493.48792
273	52445.39327
274	52440.30742
275	52435.26726
276	52415.96137
277	52410.73179
278	52373.92478
279	52367.99305
280	52349.97735
281	52344.84018
282	52339.97032
283	52335.14431
284	52315.34074
285	52309.2431
286	52290.70461
287	52285.88318
288	52272.02182
289	52237.30141
290	52232.60793
291	52226.78863
292	52219.68878
293	52186.86592
294	52181.37362
295	52161.9112
296	52156.47037
297	52151.5892
298	52145.86285
299	52128.40086
300	52112.95679
301	52108.61791
302	52103.17744
303	52098.90883
304	52054.77447
305	52050.41872
306	52045.87277
307	52041.58862
308	52037.34269
309	52032.27591
310	51981.34654
311	51977.27665
312	51936.89321
313	51930.0232
314	51911.80395
315	51906.55984
316	51902.46433
317	51895.3244
318	51891.28957
319	51887.29176
320	51859.05745
321	51834.67518
322	51829.66513
323	51823.14584
324	51805.27799
325	51799.81687
326	51795.92845
327	51759.26444
328	51742.34623
329	51726.85493
330	51721.47934
331	51705.32805
332	51691.53333
333	51665.60985
334	51661.8003
335	51648.05179
336	51616.82672
337	51575.77154
338	51571.99664
339	51568.25575
340	51559.72741
341	51542.2336
342	51537.28645
343	51500.47891
344	51488.19013
345	51483.69704
346	51459.32342
347	51455.61413
348	51444.19391
349	51439.78746
350	51424.67267
351	51412.81232
352	51406.85509
353	51403.25024
354	51390.44186
355	51368.56339
356	51365.06355
357	51353.50323
358	51349.95462
359	51338.83672
360	51330.03803
361	51325.5686
362	51290.76451
363	51286.30034
364	51270.52893
365	51267.15447
366	51263.80948
367	51248.10912
368	51244.79025
369	51201.83673
370	51198.54826
371	51194.21572
372	51191.06089
373	51156.92507
374	51149.74741
375	51146.56994
376	51132.5405
377	51110.83387
378	51107.68042
379	51104.55325
380	51101.52421
381	51091.07278
382	51084.9705
383	51056.32344
384	51052.18947
385	51040.30952
386	51028.23565
387	51025.18001
388	51021.17865
389	51016.12093
390	50993.76452
391	50983.10626
392	50980.11692
393	50968.64376
394	50965.75331
395	50961.78246
396	50958.59964
397	50955.69548
398	50951.81214
399	50940.4915
400	50936.64462
401	50924.35314
402	50913.39452
403	50899.46374
404	50896.68983
405	50886.19655
406	50883.44389
407	50870.1544
408	50866.40633
409	50844.53931
410	50841.74492
411	50827.41294
412	50823.76977
413	50804.24082
414	50801.56784
415	50788.11056
416	50777.14053
417	50773.46777
418	50764.0775
419	50741.65388
420	50732.42907
421	50722.39162
422	50719.29686
423	50711.23266
424	50708.60763
425	50690.73864
426	50686.01857
427	50683.43038
428	50651.30115
429	50639.74223
430	50636.3128
431	50611.0582
432	50608.428
433	50578.68947
434	50576.0963
435	50566.52594
436	50564.0295
437	50560.37567
438	50550.09781
439	50528.49958
440	50526.03493
441	50520.1222
442	50509.86667
443	50507.35434
444	50498.43915
445	50495.94518
446	50493.47156
447	50472.26502
448	50468.87395
449	50458.11977
450	50455.74822
451	50451.92472
452	50440.30051
453	50428.77177
454	50426.42989
455	50417.39388
456	50407.77886
457	50402.97205
458	50396.45854
459	50393.17685
460	50388.63184
461	50382.18422
462	50378.99148
463	50376.72637
464	50342.91088
465	50340.38347
466	50335.73346
467	50333.51095
468	50320.4784
469	50318.1888
470	50291.42788
471	50283.36552
472	50281.16537
473	50271.93204
474	50264.08707
475	50248.51365
476	50240.59956
477	50235.73934
478	50232.44352
479	50226.18132
480	50215.46624
481	50198.77912
482	50191.95354
483	50181.31172
484	50178.00126
485	50166.16275
486	50158.15862
