iter	Passed	Remaining
0	3	2934
1	7	3160
2	13	3563
3	18	3636
4	22	3512
5	26	3513
6	30	3436
7	34	3416
8	35	3130
9	39	3152
10	45	3273
11	47	3143
12	49	2982
13	54	3047
14	58	3038
15	64	3159
16	69	3210
17	73	3189
18	78	3232
19	83	3256
20	88	3271
21	91	3231
22	94	3189
23	99	3219
24	104	3233
25	109	3269
26	113	3259
27	118	3257
28	122	3248
29	130	3341
30	134	3345
31	144	3465
32	148	3455
33	154	3481
34	159	3484
35	160	3409
36	165	3408
37	169	3397
38	173	3386
39	176	3360
40	181	3358
41	184	3331
42	188	3318
43	194	3339
44	198	3338
45	202	3321
46	208	3341
47	211	3314
48	214	3285
49	220	3303
50	224	3298
51	228	3293
52	232	3282
53	236	3273
54	239	3246
55	242	3226
56	245	3195
57	250	3207
58	255	3208
59	260	3209
60	263	3197
61	269	3206
62	272	3193
63	275	3166
64	280	3167
65	284	3168
66	288	3157
67	293	3160
68	297	3155
69	302	3149
70	306	3144
71	309	3132
72	313	3121
73	316	3106
74	318	3081
75	322	3068
76	325	3057
77	330	3056
78	333	3046
79	336	3031
80	341	3031
81	347	3039
82	350	3028
83	352	3007
84	357	3004
85	362	3010
86	365	2997
87	369	2987
88	372	2975
89	374	2954
90	379	2956
91	384	2961
92	389	2963
93	393	2957
94	397	2953
95	402	2949
96	406	2943
97	411	2944
98	414	2932
99	417	2922
100	421	2914
101	425	2908
102	427	2894
103	430	2884
104	434	2879
105	437	2865
106	441	2859
107	445	2852
108	449	2852
109	453	2846
110	460	2856
111	463	2846
112	465	2832
113	470	2829
114	477	2845
115	482	2844
116	486	2840
117	493	2849
118	498	2853
119	502	2847
120	508	2853
121	512	2850
122	516	2844
123	521	2843
124	526	2845
125	528	2829
126	532	2823
127	537	2821
128	545	2838
129	550	2838
130	552	2822
131	560	2834
132	561	2816
133	567	2820
134	574	2829
135	579	2830
136	584	2829
137	590	2834
138	595	2830
139	597	2817
140	601	2812
141	609	2822
142	611	2810
143	617	2810
144	622	2813
145	626	2807
146	630	2800
147	634	2795
148	639	2794
149	643	2789
150	647	2781
151	651	2779
152	657	2780
153	662	2777
154	666	2772
155	672	2775
156	675	2765
157	679	2759
158	683	2753
159	688	2754
160	693	2750
161	698	2751
162	704	2752
163	708	2747
164	712	2743
165	718	2742
166	723	2742
167	726	2732
168	730	2728
169	737	2732
170	741	2728
171	744	2717
172	750	2721
173	755	2718
174	761	2718
