iter	MAE
0	53853.00825
1	53176.24771
2	52569.32047
3	51968.11712
4	51389.04562
5	50905.45127
6	50350.08519
7	49771.8895
8	49469.41348
9	48905.07371
10	48459.52781
11	48083.50096
12	47762.77261
13	47413.92844
14	47122.2976
15	46907.18681
16	46603.93758
17	46381.12201
118	45834.04499
19	45497.67342
20	45263.95425
21	44944.03639
22	44793.98882
23	44522.06993
24	44381.33629
25	44197.70962
26	44029.96734
27	43850.15388
28	43713.7592
29	43517.59837
30	43343.11149
31	43228.08935
32	43013.24458
33	42917.22469
34	42819.33067
35	42625.31223
36	42523.21537
37	42464.14811
38	42361.52852
39	42227.2514
40	42152.07607
41	42052.31847
42	42005.46587
43	41933.30712
44	41853.09747
45	41741.38941
46	41664.40268
47	41622.6067
48	41533.54809
49	41474.90212
50	41377.1852
51	41324.02237
52	41299.6191
53	41216.95667
54	41187.88917
55	41133.93957
56	41056.06303
57	40976.60868
58	40915.89934
59	40866.61264
60	40780.77582
61	40733.19094
62	40665.31481
63	40636.7402
64	40572.88261
65	40551.11782
66	40528.10808
67	40500.0648
68	40473.68088
69	40449.61945
70	40445.51129
71	40417.09475
72	40395.97464
73	40360.84
74	40331.21302
75	40270.56829
76	40254.70572
77	40213.47902
78	40143.07402
79	40117.8251
80	40097.33342
81	40033.03567
82	39996.08241
83	39979.22723
84	39959.89463
85	39945.74078
86	39927.23757
87	39895.81665
88	39882.08868
89	39864.53398
90	39836.1212
91	39804.3694
92	39757.18092
93	39741.53456
94	39717.08479
95	39684.32509
96	39651.89163
97	39636.24674
98	39619.42034
99	39610.53727
100	39600.4902
101	39589.70415
102	39574.59574
103	39551.306
104	39527.17991
105	39504.16791
106	39487.91799
107	39472.50684
108	39460.81498
109	39443.72811
110	39435.589
111	39426.24231
112	39405.01418
113	39401.17581
114	39384.22299
115	39367.70258
116	39355.21777
117	39337.48772
118	39313.28172
119	39290.87268
120	39279.14589
121	39265.69914
122	39247.81116
123	39239.84468
124	39229.47493
125	39212.35167
126	39208.81514
127	39207.05747
128	39196.85525
129	39177.54413
130	39173.34785
131	39154.76882
132	39144.6964
133	39122.48856
134	39116.05025
135	39108.0982
136	39095.70145
137	39081.26563
138	39070.84359
139	39051.04713
140	39033.75509
141	39022.45428
142	39018.22503
143	39001.32291
144	38987.15603
145	38985.68655
146	38971.53148
147	38961.46313
148	38953.17139
149	38948.91845
150	38937.56241
151	38918.31453
152	38900.62661
153	38869.58062
154	38861.73068
155	38856.41538
