iter	Passed	Remaining
0	2	1479
1	4	1720
2	7	1775
3	10	1815
4	11	1648
5	14	1653
6	17	1752
7	20	1792
8	21	1667
9	25	1740
10	28	1768
11	31	1781
12	34	1804
13	36	1809
14	38	1776
15	40	1710
16	42	1711
17	44	1688
18	75	2702
19	80	2729
20	84	2739
21	87	2703
22	88	2611
23	92	2610
24	96	2598
25	100	2608
26	103	2576
27	105	2539
28	109	2525
29	111	2501
30	115	2491
31	118	2480
32	122	2467
33	126	2475
34	129	2456
35	132	2452
36	136	2441
37	138	2405
38	141	2401
39	144	2391
40	148	2382
41	151	2376
42	154	2361
43	157	2354
44	160	2342
45	164	2333
46	168	2342
47	170	2320
48	173	2306
49	177	2303
50	180	2296
51	184	2294
52	185	2268
53	188	2256
54	190	2234
55	192	2208
56	196	2211
57	199	2207
58	202	2204
59	209	2231
60	212	2227
61	215	2222
62	219	2214
63	223	2222
64	228	2234
65	232	2235
66	235	2223
67	239	2229
68	242	2219
69	246	2216
70	247	2191
71	251	2191
72	254	2187
73	257	2178
74	260	2170
75	264	2171
76	267	2166
77	272	2172
78	276	2169
79	279	2162
80	282	2155
81	285	2152
82	289	2152
83	292	2144
84	295	2137
85	297	2122
86	301	2122
87	304	2115
88	306	2100
89	309	2099
90	312	2089
91	315	2086
92	319	2082
93	323	2083
94	326	2078
95	330	2079
96	333	2073
97	336	2065
98	338	2056
99	341	2051
100	345	2047
101	348	2042
102	351	2037
103	354	2031
104	357	2025
105	360	2022
106	364	2020
107	367	2016
108	370	2010
109	375	2012
110	378	2010
111	382	2008
112	386	2007
113	388	1997
114	392	1995
115	395	1989
116	397	1982
117	401	1981
118	404	1976
119	408	1972
120	410	1962
121	413	1959
122	416	1956
123	422	1963
124	426	1963
125	430	1961
126	431	1948
127	433	1939
128	436	1933
129	440	1932
130	442	1921
131	446	1922
132	449	1918
133	452	1909
134	455	1905
135	458	1900
136	462	1899
137	465	1895
138	469	1892
139	474	1899
140	478	1895
141	481	1890
142	484	1886
143	488	1886
144	492	1884
145	493	1873
146	497	1872
147	502	1872
148	505	1867
149	506	1856
150	509	1852
151	514	1854
152	519	1857
153	522	1854
154	525	1846
155	527	1840
156	531	1838
157	535	1835
158	536	1825
159	540	1824
160	543	1819
161	546	1816
162	550	1812
163	552	1804
164	555	1801
165	560	1803
166	562	1794
167	566	1792
168	570	1793
169	575	1793
170	577	1787
171	581	1783
172	585	1782
173	589	1780
174	591	1774
175	594	1770
176	598	1767
177	601	1762
178	605	1763
179	609	1759
180	611	1754
181	615	1751
182	618	1748
183	622	1744
184	625	1740
185	628	1736
186	631	1733
187	635	1729
188	638	1727
189	642	1725
190	646	1723
191	649	1719
192	654	1718
193	656	1713
194	659	1708
195	664	1708
196	666	1702
197	669	1698
198	673	1694
199	677	1694
200	680	1690
201	684	1687
202	686	1681
203	690	1678
204	692	1673
205	696	1671
206	699	1666
207	703	1663
208	706	1660
209	710	1656
210	713	1653
211	717	1652
212	720	1648
213	723	1643
214	726	1638
215	729	1633
216	732	1629
217	735	1626
218	739	1623
219	742	1619
220	745	1616
221	748	1612
222	751	1608
223	754	1603
224	758	1600
225	762	1598
226	766	1596
227	769	1592
228	773	1590
229	776	1586
230	779	1583
231	784	1582
232	787	1578
233	792	1578
234	795	1574
235	799	1570
236	802	1566
237	805	1563
238	808	1559
239	812	1557
240	815	1554
241	818	1549
242	822	1547
243	826	1544
244	829	1540
245	833	1537
246	837	1535
247	840	1531
248	843	1527
249	847	1525
250	850	1521
251	853	1517
252	856	1514
253	859	1509
254	863	1506
255	865	1501
256	869	1497
257	872	1494
258	875	1489
259	878	1486
260	881	1483
261	885	1479
262	889	1478
263	893	1474
264	896	1472
265	900	1470
266	904	1467
267	907	1463
268	911	1460
269	915	1457
270	919	1455
271	923	1452
272	925	1447
273	930	1447
274	934	1444
275	937	1440
276	941	1437
277	944	1434
278	948	1431
279	951	1427
280	955	1424
281	958	1420
282	963	1420
283	967	1416
284	970	1412
285	973	1408
286	977	1406
287	981	1404
288	985	1401
289	988	1397
290	992	1394
291	996	1392
292	999	1388
293	1003	1385
294	1006	1381
295	1010	1379
296	1013	1375
297	1016	1371
298	1019	1367
299	1023	1364
300	1026	1361
301	1030	1357
302	1033	1353
303	1037	1351
304	1040	1348
305	1051	1354
306	1054	1350
307	1057	1345
308	1060	1342
309	1064	1338
310	1067	1335
311	1071	1331
312	1074	1328
313	1077	1324
314	1082	1322
315	1085	1319
316	1091	1318
317	1096	1317
318	1100	1313
319	1103	1309
320	1108	1308
321	1111	1305
322	1115	1302
323	1118	1298
324	1122	1295
325	1125	1291
326	1129	1288
327	1132	1284
328	1135	1280
329	1138	1276
330	1142	1273
331	1146	1270
332	1149	1267
333	1153	1263
334	1156	1260
335	1160	1256
336	1163	1253
337	1167	1250
338	1170	1246
339	1173	1242
340	1176	1238
341	1180	1235
342	1184	1232
343	1187	1228
344	1191	1225
345	1193	1221
346	1196	1217
347	1199	1213
348	1203	1209
349	1206	1206
350	1210	1203
351	1214	1200
352	1217	1197
353	1222	1194
354	1225	1190
355	1229	1187
356	1232	1184
357	1235	1180
358	1240	1177
359	1243	1174
360	1246	1170
361	1250	1167
362	1253	1164
363	1257	1160
364	1261	1157
365	1264	1154
366	1267	1150
367	1271	1146
368	1273	1142
369	1277	1139
370	1280	1135
371	1285	1133
372	1288	1129
373	1291	1125
374	1295	1122
375	1298	1119
376	1302	1115
377	1306	1112
378	1310	1109
379	1313	1106
380	1316	1102
381	1320	1099
382	1324	1096
383	1327	1092
384	1331	1089
385	1334	1085
386	1339	1083
387	1343	1080
388	1345	1075
389	1349	1072
390	1352	1068
391	1355	1065
392	1358	1061
393	1361	1057
394	1364	1053
395	1367	1050
396	1371	1046
397	1375	1043
398	1378	1040
399	1383	1037
400	1386	1033
401	1389	1029
402	1392	1026
403	1395	1022
404	1398	1018
405	1402	1015
406	1406	1012
407	1409	1008
408	1412	1004
409	1415	1001
410	1418	997
411	1421	993
412	1424	990
413	1428	986
414	1433	984
415	1436	980
416	1440	977
417	1443	974
418	1447	970
419	1450	966
420	1452	962
421	1456	959
422	1459	955
423	1463	952
424	1467	949
425	1471	946
426	1473	942
427	1476	938
428	1479	934
429	1482	931
430	1486	928
431	1491	925
432	1494	921
433	1498	918
434	1502	915
435	1505	911
436	1508	907
437	1511	904
438	1514	900
439	1518	897
440	1521	893
441	1525	890
442	1528	886
443	1532	883
444	1535	880
445	1539	876
446	1542	873
447	1545	869
448	1549	866
449	1552	862
450	1555	858
451	1559	855
452	1562	852
453	1567	849
454	1571	846
455	1575	842
456	1579	839
457	1582	836
458	1586	832
459	1589	829
460	1592	825
461	1595	822
462	1598	818
463	1602	815
464	1605	811
465	1609	807
466	1612	804
467	1616	801
468	1620	798
469	1623	794
470	1627	791
471	1630	787
472	1633	784
473	1636	780
474	1639	776
475	1642	773
476	1645	769
477	1648	765
478	1652	762
479	1655	758
480	1659	755
481	1662	752
482	1665	748
483	1669	744
484	1673	741
485	1676	738
486	1679	734
487	1682	731
488	1685	727
489	1689	723
490	1692	720
491	1696	717
492	1699	713
493	1703	710
494	1706	706
495	1710	703
496	1713	699
497	1716	696
498	1719	692
499	1722	688
500	1726	685
501	1729	682
502	1732	678
503	1736	675
504	1739	671
505	1742	668
506	1747	665
507	1750	661
508	1753	658
509	1756	654
510	1761	651
511	1764	647
512	1768	644
513	1771	641
514	1775	637
515	1778	634
516	1780	630
517	1783	626
518	1787	623
519	1791	620
520	1794	616
521	1797	612
522	1800	609
523	1803	605
524	1808	602
525	1812	599
526	1816	596
527	1819	592
528	1822	589
529	1826	585
530	1830	582
531	1832	578
532	1835	575
533	1840	572
534	1844	568
535	1847	565
536	1852	562
537	1855	558
538	1859	555
539	1862	551
540	1865	548
541	1869	544
542	1872	541
543	1875	537
544	1879	534
545	1882	530
546	1885	527
547	1888	523
548	1893	520
549	1895	517
550	1899	513
551	1904	510
552	1908	507
553	1910	503
554	1913	500
555	1916	496
556	1919	492
557	1922	489
558	1926	485
559	1929	482
560	1933	478
561	1941	476
562	1944	473
563	1947	469
564	1950	466
565	1955	462
566	1958	459
567	1960	455
568	1964	452
569	1967	448
570	1970	445
571	1974	441
572	1977	438
573	1981	434
574	1984	431
575	1988	428
576	1992	424
577	1995	421
578	1999	417
579	2002	414
580	2006	410
581	2009	407
582	2012	403
583	2016	400
584	2019	396
585	2023	393
586	2027	390
587	2030	386
588	2034	383
589	2037	379
590	2040	376
591	2044	372
592	2047	369
593	2050	365
594	2054	362
595	2059	359
596	2062	355
597	2066	352
598	2068	348
599	2071	345
600	2075	341
601	2079	338
602	2082	334
603	2085	331
604	2089	328
605	2092	324
606	2096	321
607	2101	317
608	2104	314
609	2108	311
610	2111	307
611	2114	304
612	2118	300
613	2121	297
614	2125	293
615	2128	290
616	2131	286
617	2133	283
618	2136	279
619	2140	276
620	2143	272
621	2146	269
622	2149	265
623	2152	262
624	2156	258
625	2160	255
626	2163	251
627	2166	248
628	2170	244
629	2174	241
630	2178	238
631	2182	234
632	2184	231
633	2188	227
634	2192	224
635	2196	221
636	2199	217
637	2202	214
638	2206	210
639	2209	207
640	2213	203
641	2217	200
642	2220	196
643	2224	193
644	2227	189
645	2230	186
646	2234	183
647	2238	179
648	2241	176
649	2244	172
650	2247	169
651	2250	165
652	2254	162
653	2257	158
654	2259	155
655	2262	151
656	2265	148
657	2268	144
658	2271	141
659	2273	137
660	2276	134
661	2279	130
662	2281	127
663	2284	123
664	2286	120
665	2289	116
666	2291	113
667	2294	109
668	2296	106
669	2299	102
670	2301	99
671	2304	96
672	2306	92
673	2309	89
674	2311	85
675	2314	82
676	2316	78
677	2319	75
678	2321	71
679	2324	68
680	2326	64
681	2329	61
682	2331	58
683	2333	54
684	2337	51
685	2340	47
686	2343	44
687	2346	40
688	2348	37
689	2351	34
690	2353	30
691	2355	27
692	2358	23
693	2360	20
694	2362	16
695	2365	13
696	2367	10
697	2369	6
698	2371	3
699	2373	0
